id_logement,region,departement,surface_m2,annee_construction,periode_construction,type_logement,energie_chauffage,conso_energie_kwh,cout_chauffage,classe_dpe,co2_emission,longitude,latitude,date_dpe
1,Bretagne,31,132.7,1945,<1960,Appartement,Bois,5101.4,612.17,G,1728.7,0.12879372897140673,44.606658887731484,2021-01-26 12:20:56
2,Occitanie,31,78.8,1949,<1960,Appartement,Bois,6313.6,757.63,C,354.7,0.9788159854170901,50.065256781001025,2024-01-14 09:30:27
3,Centre-Val de Loire,44,83.7,1959,<1960,Appartement,Fioul,5365.7,643.88,D,1373.1,3.530283202563421,47.94096471402564,2023-06-29 09:57:03
4,Normandie,44,48.6,1972,1960-1979,Appartement,Bois,7339.3,880.72,E,992.5,-1.6091369922207952,42.51259081853269,2024-12-10 14:42:28
5,Hauts-de-France,44,143.2,1967,1960-1979,Appartement,Fioul,7084.7,850.16,G,2212.0,-4.701670417280719,45.57224325404616,2023-01-17 21:11:16
6,Bretagne,13,43.0,1961,1960-1979,Appartement,Électricité,13773.4,1652.81,C,4320.5,-3.164016180235851,49.96334707658767,2024-04-26 04:09:33
7,Provence-Alpes-Côte d'Azur,35,120.1,1957,<1960,Maison,Fioul,13596.9,1631.63,D,2884.1,0.7215067984980577,42.73767975128317,2024-03-12 08:25:15
8,Nouvelle-Aquitaine,69,74.0,1958,<1960,Maison,Fioul,13768.5,1652.22,C,200.0,-1.3339665974593764,42.52825697587513,2022-07-25 00:19:27
9,Bretagne,13,67.0,1955,<1960,Appartement,Bois,17287.5,2074.5,D,834.1,4.9387152934697145,44.94695582756863,2021-05-17 05:41:24
10,Centre-Val de Loire,59,51.7,1972,1960-1979,Appartement,Électricité,11647.5,1397.7,C,1031.1,-3.613029082859472,50.45180032198072,2024-04-25 20:14:15
11,Centre-Val de Loire,31,157.3,1986,1980-1999,Appartement,Autre,8486.3,1018.36,A,620.4,6.927047932212449,50.34285495878915,2024-03-27 07:24:26
12,Normandie,37,91.6,2005,2000-2009,Appartement,Autre,21951.3,2634.16,D,1945.8,6.639253339270844,47.01322892847312,2021-02-18 21:41:29
13,Hauts-de-France,14,85.6,2008,2000-2009,Maison,Autre,16075.4,1929.05,C,2405.9,6.813838620132746,47.31316077891472,2021-09-24 11:18:02
14,Occitanie,69,111.6,1975,1960-1979,Appartement,Électricité,12685.4,1522.25,C,1036.3,4.614929981843247,45.388469698459545,2021-10-08 11:26:38
15,Normandie,67,65.5,2017,≥2010,Maison,Gaz,12372.9,1484.75,C,1999.3,-3.609000370713209,44.620508959641946,2024-10-22 19:37:29
16,Normandie,59,85.1,1954,<1960,Appartement,Électricité,13303.4,1596.41,A,2398.2,0.6957884278043682,49.59243013164543,2021-04-06 19:42:50
17,Nouvelle-Aquitaine,69,86.7,1952,<1960,Appartement,Bois,11090.5,1330.86,G,2829.1,-3.2917301665289713,43.42476528634688,2021-09-07 05:39:46
18,Grand Est,37,69.6,1965,1960-1979,Appartement,Fioul,12577.0,1509.24,D,2340.5,7.840089505894074,46.73998302664413,2022-11-12 12:24:23
19,Hauts-de-France,13,121.0,2021,≥2010,Appartement,Fioul,14247.2,1709.66,F,2497.4,-0.6705004958172474,48.01925615762464,2022-06-17 15:14:22
20,Auvergne-Rhône-Alpes,75,78.4,2003,2000-2009,Appartement,Bois,8730.6,1047.67,D,2166.3,2.6092970445708072,43.402018526227955,2023-06-18 23:21:46
21,Normandie,14,38.4,1994,1980-1999,Maison,Bois,4646.5,557.58,F,1287.2,5.132109705174884,47.020581730609415,2023-10-06 17:12:40
22,Grand Est,69,76.0,2013,≥2010,Maison,Fioul,2659.6,319.15,D,1484.0,6.968009094933391,47.524435204838255,2022-12-06 11:13:05
23,Auvergne-Rhône-Alpes,35,92.5,2014,≥2010,Maison,Gaz,15995.5,1919.46,D,1009.5,4.822120435937681,48.959715726414075,2023-02-17 18:15:07
24,Hauts-de-France,44,58.2,1974,1960-1979,Maison,Gaz,4876.8,585.22,D,3548.8,3.7685491239610887,44.54307362758354,2022-12-30 02:48:19
25,Île-de-France,44,60.6,1961,1960-1979,Maison,Gaz,14094.0,1691.28,E,877.7,1.0577631664959668,45.0519492786296,2022-02-24 07:16:45
26,Provence-Alpes-Côte d'Azur,14,68.6,2019,≥2010,Appartement,Bois,6805.4,816.65,D,3056.9,2.870201738756813,47.454833975707395,2021-01-22 10:01:27
27,Grand Est,37,121.6,1964,1960-1979,Appartement,Fioul,6877.9,825.35,C,886.5,-3.775870484913212,51.053199766840045,2023-10-09 05:37:51
28,Pays de la Loire,13,70.4,1992,1980-1999,Maison,Fioul,8768.1,1052.17,B,2890.7,6.490993045496413,44.392190690534996,2023-03-29 03:27:48
29,Île-de-France,44,127.9,2017,≥2010,Appartement,Fioul,12873.6,1544.83,E,3074.9,2.0691050149185104,51.07736329597414,2022-08-20 18:40:47
30,Centre-Val de Loire,69,66.6,1946,<1960,Maison,Électricité,6201.3,744.16,D,3236.8,-4.478244344345745,48.71478003757399,2021-11-11 21:42:29
31,Centre-Val de Loire,67,94.8,1981,1980-1999,Appartement,Électricité,9223.8,1106.86,B,1262.7,6.9587276335786665,49.686914005781205,2024-10-05 02:32:13
32,Provence-Alpes-Côte d'Azur,31,71.6,1945,<1960,Appartement,Autre,11884.3,1426.12,D,2347.9,1.3609256598792925,43.27987903365615,2023-10-15 07:10:48
33,Nouvelle-Aquitaine,31,107.6,1948,<1960,Maison,Électricité,6553.8,786.46,D,1659.4,6.291658840293023,45.1136556306465,2023-11-23 07:38:32
34,Bretagne,59,51.5,1998,1980-1999,Appartement,Gaz,18427.1,2211.25,F,1402.0,6.13954340466964,43.002305632963534,2023-04-30 03:38:50
35,Occitanie,33,107.3,1969,1960-1979,Appartement,Gaz,4248.6,509.83,B,2239.5,5.604770636942494,45.73245885652763,2022-03-09 16:09:04
36,Pays de la Loire,75,88.4,1947,<1960,Maison,Gaz,11018.2,1322.18,C,2932.5,-4.201760749160371,51.03722004130445,2023-11-16 02:02:56
37,Nouvelle-Aquitaine,14,65.8,1953,<1960,Maison,Gaz,17726.4,2127.17,F,1664.4,-1.7881336094852847,43.41587564119514,2022-10-16 12:27:30
38,Hauts-de-France,59,80.0,2020,≥2010,Appartement,Autre,6039.9,724.79,E,2496.3,6.3821223420506,47.39264320662944,2023-12-06 13:17:21
39,Nouvelle-Aquitaine,33,131.0,2018,≥2010,Maison,Gaz,11506.7,1380.8,C,1383.0,6.68688372867722,42.55281441848017,2021-06-06 12:07:09
40,Bretagne,13,89.1,1978,1960-1979,Maison,Bois,12597.9,1511.75,F,1261.1,0.9548952107944793,48.70034049958335,2021-12-16 03:33:59
41,Hauts-de-France,35,63.9,1987,1980-1999,Maison,Bois,8369.5,1004.34,D,1908.0,0.7205390795046291,44.215576423636755,2023-09-22 21:35:20
42,Pays de la Loire,35,48.9,2018,≥2010,Maison,Bois,11651.3,1398.16,D,1962.0,-2.7231717594800533,43.62738547298544,2021-12-15 23:43:58
43,Bretagne,75,100.2,1966,1960-1979,Appartement,Électricité,14526.5,1743.18,G,2801.0,7.589340252984966,45.432054965798855,2022-03-15 05:28:22
44,Auvergne-Rhône-Alpes,44,90.9,2014,≥2010,Appartement,Fioul,9897.9,1187.75,F,1073.6,-2.229199820332439,49.208085392069144,2022-01-09 17:12:53
45,Occitanie,69,105.9,1946,<1960,Appartement,Autre,15439.5,1852.74,D,4142.8,-2.517821803440048,43.42753385090754,2024-10-09 05:51:21
46,Pays de la Loire,59,41.1,2010,≥2010,Appartement,Bois,13767.3,1652.08,B,587.0,3.5894766119392667,44.49959926344865,2024-07-20 16:06:20
47,Auvergne-Rhône-Alpes,59,49.8,1976,1960-1979,Appartement,Bois,9376.9,1125.23,C,2405.3,-1.8430240609941801,42.57364046807059,2021-07-20 20:30:18
48,Provence-Alpes-Côte d'Azur,14,119.4,1960,1960-1979,Appartement,Gaz,17073.5,2048.82,A,1943.4,7.2040309431870675,50.92520930545188,2023-07-12 16:21:57
49,Pays de la Loire,14,94.9,2020,≥2010,Appartement,Bois,8665.8,1039.9,A,1616.5,-4.858209060868667,47.65166671990312,2024-06-14 16:10:48
50,Provence-Alpes-Côte d'Azur,35,101.0,1945,<1960,Appartement,Gaz,15851.5,1902.18,D,2042.4,-4.925207589797083,48.76312683654689,2022-12-08 09:45:08
51,Hauts-de-France,35,56.1,2016,≥2010,Appartement,Gaz,8746.4,1049.57,F,2805.0,1.5633984186627945,48.167033589057326,2021-12-09 18:16:36
52,Auvergne-Rhône-Alpes,37,55.6,1992,1980-1999,Maison,Fioul,10577.7,1269.32,F,2944.8,1.3448119788751356,43.75597166216617,2021-09-14 16:09:53
53,Occitanie,67,114.7,1994,1980-1999,Appartement,Électricité,11268.1,1352.17,D,2004.2,-2.8762677152881637,47.67597746924775,2021-03-11 16:25:57
54,Bretagne,67,116.2,1957,<1960,Appartement,Gaz,13523.6,1622.83,D,2498.6,1.4287543186136977,43.64331567772898,2023-09-18 13:15:25
55,Normandie,37,52.4,1959,<1960,Appartement,Gaz,2000.0,240.0,A,1002.7,0.35159436720982384,45.990757149479215,2024-08-09 10:03:55
56,Nouvelle-Aquitaine,44,46.6,1997,1980-1999,Appartement,Fioul,14061.1,1687.33,C,2034.2,6.574283829450794,47.44997928255005,2021-08-27 06:33:31
57,Île-de-France,67,81.7,1988,1980-1999,Maison,Gaz,11538.8,1384.66,A,2554.9,-4.879699037179475,47.36226569268876,2023-07-08 12:12:27
58,Occitanie,69,61.0,1952,<1960,Appartement,Autre,13285.8,1594.3,E,200.0,7.69150746542838,43.53593880604985,2022-09-26 06:51:15
59,Auvergne-Rhône-Alpes,69,60.4,2018,≥2010,Appartement,Électricité,14261.2,1711.34,B,2272.8,3.1171059358459523,42.79959293592474,2021-04-09 22:32:58
60,Normandie,59,47.5,1990,1980-1999,Appartement,Autre,13772.1,1652.65,F,2048.6,-3.0260352066114167,49.444638530702186,2024-02-02 15:36:14
61,Occitanie,31,70.9,2013,≥2010,Appartement,Bois,2966.9,356.03,E,3342.8,-4.392119820454839,48.81552520186525,2024-12-18 23:09:42
62,Auvergne-Rhône-Alpes,37,50.4,1963,1960-1979,Appartement,Électricité,7225.5,867.06,C,2350.4,1.9953735612700143,43.21182446971322,2023-05-25 00:36:30
63,Grand Est,69,52.1,1982,1980-1999,Appartement,Bois,13497.7,1619.72,C,2631.8,-1.9464278423663384,43.608515013573516,2022-09-07 20:21:19
64,Grand Est,33,94.0,1955,<1960,Appartement,Gaz,12898.6,1547.83,E,1955.6,-1.0848480189836298,50.2654788545897,2024-09-08 10:05:44
65,Provence-Alpes-Côte d'Azur,35,83.3,1987,1980-1999,Maison,Fioul,8447.0,1013.64,F,2768.8,-1.8132818571513232,49.19142144410949,2022-09-28 05:43:44
66,Occitanie,14,99.5,1964,1960-1979,Maison,Autre,15319.4,1838.33,E,2706.1,3.4522400764426404,51.166594577085064,2024-09-05 19:14:10
67,Grand Est,67,35.5,1964,1960-1979,Appartement,Bois,10846.1,1301.53,C,1024.1,2.1958765075097366,44.70969080808369,2023-02-17 04:12:46
68,Auvergne-Rhône-Alpes,37,85.3,1965,1960-1979,Appartement,Gaz,15985.8,1918.3,D,2479.9,-3.9863324942164504,46.74388600315869,2021-05-26 20:31:58
69,Provence-Alpes-Côte d'Azur,59,147.3,2001,2000-2009,Appartement,Autre,17445.1,2093.41,C,3264.0,1.8448449312772803,44.557198311742496,2024-05-19 23:20:56
70,Auvergne-Rhône-Alpes,75,73.8,1994,1980-1999,Appartement,Autre,13252.4,1590.29,G,3085.4,5.285466952322899,47.9183612047526,2023-08-10 10:28:13
71,Provence-Alpes-Côte d'Azur,14,109.7,2018,≥2010,Appartement,Bois,14500.0,1740.0,E,2224.6,-3.944470319335784,43.50410388009447,2023-12-31 15:48:36
72,Occitanie,33,109.5,1970,1960-1979,Maison,Gaz,9261.9,1111.43,E,2489.5,6.56660669099546,43.60701560286439,2021-01-13 08:14:45
73,Normandie,67,111.0,1974,1960-1979,Appartement,Fioul,16014.9,1921.79,D,3023.4,2.5179864428204786,43.12542465522457,2022-09-22 22:23:35
74,Bretagne,33,90.0,2017,≥2010,Maison,Bois,12981.6,1557.79,E,1175.0,7.358118100514115,48.534198915698255,2022-04-19 17:04:08
75,Pays de la Loire,35,102.0,1975,1960-1979,Appartement,Autre,10673.8,1280.86,C,2626.9,-3.0741641696091166,46.7984314236689,2023-09-04 03:48:39
76,Normandie,35,106.0,1986,1980-1999,Maison,Autre,6515.3,781.84,A,426.2,7.916344991593098,47.874261582285285,2023-06-21 19:53:03
77,Hauts-de-France,44,104.1,2012,≥2010,Appartement,Électricité,9815.5,1177.86,D,2976.1,3.375547257605799,50.14991910532743,2022-01-26 15:47:14
78,Auvergne-Rhône-Alpes,59,51.5,2005,2000-2009,Maison,Gaz,7007.4,840.89,F,1853.7,2.377424593253817,48.94085781737162,2023-03-02 16:42:33
79,Hauts-de-France,14,33.8,2005,2000-2009,Appartement,Électricité,15426.7,1851.2,E,2122.2,1.6986351134571098,46.51698938805021,2023-06-09 18:34:08
80,Normandie,13,38.4,2014,≥2010,Maison,Fioul,17491.9,2099.03,B,1700.2,-4.692493149721934,51.063897099029774,2024-02-15 21:22:50
81,Provence-Alpes-Côte d'Azur,13,76.9,2022,≥2010,Maison,Bois,16123.2,1934.78,F,2163.1,7.215309490144515,46.46942807993517,2022-09-03 22:34:20
82,Pays de la Loire,14,102.8,2012,≥2010,Maison,Autre,23187.1,2782.45,C,2429.8,3.371928147104578,43.47832085713174,2021-03-12 05:47:55
83,Pays de la Loire,75,51.9,1961,1960-1979,Appartement,Gaz,9928.2,1191.38,C,2878.9,-3.808855701509214,51.13609630109863,2024-06-04 15:35:56
84,Île-de-France,59,112.7,1963,1960-1979,Maison,Autre,14684.6,1762.15,C,3369.6,-4.727621786171176,42.698540351129175,2024-09-28 12:43:00
85,Pays de la Loire,33,69.9,1995,1980-1999,Appartement,Électricité,6683.9,802.07,D,2243.7,-4.3398126899222325,47.28398696754344,2023-07-01 12:56:06
86,Bretagne,75,70.2,2014,≥2010,Appartement,Électricité,11112.4,1333.49,D,704.6,2.922144924619129,45.18913075168747,2021-06-26 01:12:01
87,Pays de la Loire,31,59.9,2007,2000-2009,Maison,Bois,5351.9,642.23,D,3375.1,2.9822003936296078,46.88090371384777,2022-02-24 04:19:44
88,Normandie,14,28.5,2019,≥2010,Appartement,Gaz,14556.9,1746.83,E,875.2,1.4956747931587344,47.36080268757234,2023-12-09 07:09:19
89,Île-de-France,33,91.9,1974,1960-1979,Appartement,Gaz,10400.3,1248.04,C,1820.0,-1.01204433151163,44.588834297622846,2023-03-27 21:33:07
90,Normandie,13,136.4,1969,1960-1979,Appartement,Bois,2754.4,330.53,E,1758.7,1.912655510990338,47.34467117491418,2024-04-30 05:08:18
91,Normandie,69,83.1,2019,≥2010,Maison,Électricité,8917.4,1070.09,C,2210.4,1.711923671391352,49.07773167444818,2022-02-25 05:04:03
92,Centre-Val de Loire,37,29.5,2015,≥2010,Appartement,Électricité,20069.0,2408.28,E,1062.9,-4.747597721604647,44.818635584022786,2024-12-13 17:27:44
93,Nouvelle-Aquitaine,44,108.4,1970,1960-1979,Appartement,Électricité,13846.9,1661.63,E,1019.2,-1.3279000057425252,45.835807359830994,2021-05-25 01:03:45
94,Île-de-France,13,36.3,2000,2000-2009,Appartement,Autre,15460.9,1855.31,E,2180.6,-4.3085905609270565,44.8337114305273,2024-04-21 06:36:00
95,Normandie,59,48.7,1966,1960-1979,Maison,Fioul,12565.0,1507.8,D,1482.0,6.702011768819521,49.63886965959736,2021-07-12 22:30:27
96,Nouvelle-Aquitaine,35,77.8,1963,1960-1979,Appartement,Électricité,11183.0,1341.96,E,3411.5,4.42790111620676,48.80734565512349,2024-01-22 20:04:44
97,Nouvelle-Aquitaine,37,88.7,1975,1960-1979,Maison,Fioul,12070.1,1448.41,B,1704.2,7.949497212507859,50.079409003800144,2024-08-12 11:16:32
98,Île-de-France,37,54.7,1970,1960-1979,Appartement,Fioul,13104.4,1572.53,F,1274.5,-1.0717735770312578,43.97943406824444,2022-08-24 06:27:11
99,Centre-Val de Loire,69,76.7,1986,1980-1999,Maison,Gaz,7065.1,847.81,B,3704.7,6.420316020839834,43.140142851989836,2022-08-25 16:49:25
100,Hauts-de-France,44,106.5,1985,1980-1999,Maison,Bois,15433.8,1852.06,B,2622.9,2.8397054831222626,43.53863648357046,2022-06-13 00:54:25
101,Provence-Alpes-Côte d'Azur,44,110.6,1967,1960-1979,Appartement,Autre,17048.2,2045.78,D,4645.3,0.8906302897468636,43.900859495570856,2023-07-20 21:10:01
102,Bretagne,31,122.5,1991,1980-1999,Appartement,Fioul,11115.3,1333.84,E,469.9,-2.106549553247744,47.13781914787078,2022-01-30 14:25:15
103,Provence-Alpes-Côte d'Azur,31,142.3,1957,<1960,Maison,Autre,9646.3,1157.56,B,2387.0,4.5990981487198574,50.94693501215606,2021-09-28 22:05:32
104,Pays de la Loire,67,109.3,2010,≥2010,Appartement,Gaz,8661.4,1039.37,F,2637.1,6.7538297357559,45.60794812456601,2021-05-14 07:08:58
105,Bretagne,13,78.5,2010,≥2010,Appartement,Électricité,19916.5,2389.98,G,2225.0,-1.9409908250201804,50.839021943433785,2023-04-20 14:39:48
106,Pays de la Loire,13,110.8,1960,1960-1979,Maison,Fioul,9964.8,1195.78,E,1874.2,-2.7199256453430367,42.83234691640586,2024-12-20 17:47:39
107,Normandie,13,99.0,2017,≥2010,Maison,Bois,14939.9,1792.79,D,3321.1,4.05088489506327,50.56378816448753,2024-01-09 20:35:40
108,Auvergne-Rhône-Alpes,67,100.2,1972,1960-1979,Appartement,Gaz,11146.9,1337.63,E,2619.8,7.700651115431748,44.07602768355325,2021-03-19 06:43:31
109,Île-de-France,75,90.3,2021,≥2010,Appartement,Autre,10903.7,1308.44,C,679.7,4.749416314353015,50.438532375758335,2022-05-20 03:59:00
110,Bretagne,44,57.6,1979,1960-1979,Appartement,Électricité,8558.6,1027.03,D,1417.6,-1.3004503923805641,42.98917864200451,2024-08-15 05:09:44
111,Bretagne,69,54.2,1985,1980-1999,Appartement,Autre,7633.7,916.04,F,1152.4,0.45942051392121286,50.74950919320679,2023-12-11 01:21:37
112,Normandie,59,82.1,2021,≥2010,Maison,Bois,15329.6,1839.55,G,2091.0,-0.003870739041167859,44.24694489957409,2021-07-02 15:53:47
113,Hauts-de-France,44,89.5,1975,1960-1979,Maison,Fioul,7531.8,903.82,F,3054.0,6.0772352346115905,45.1336123226365,2023-11-04 00:36:43
114,Nouvelle-Aquitaine,31,64.6,1976,1960-1979,Maison,Bois,14081.3,1689.76,C,1858.7,5.027820125338909,46.77119839369574,2023-09-21 08:27:13
115,Normandie,37,97.7,1998,1980-1999,Appartement,Autre,12407.6,1488.91,C,1972.2,2.6566806518997623,45.812271666748636,2022-06-12 07:34:29
116,Grand Est,33,147.4,2016,≥2010,Appartement,Autre,15386.9,1846.43,C,1318.9,-1.425531564840258,48.30749333258941,2022-01-06 23:06:58
117,Centre-Val de Loire,35,32.7,2003,2000-2009,Appartement,Bois,9255.2,1110.62,D,2885.2,7.19385086038673,50.98082757507568,2022-08-18 11:10:03
118,Nouvelle-Aquitaine,67,102.5,1985,1980-1999,Appartement,Bois,16860.6,2023.27,C,3309.4,3.4930979219989062,47.775910470002984,2024-06-10 21:28:56
119,Île-de-France,14,83.0,2010,≥2010,Maison,Bois,11364.6,1363.75,D,2170.8,7.616196403743171,48.77692306209798,2024-09-27 10:42:20
120,Nouvelle-Aquitaine,33,98.5,1998,1980-1999,Appartement,Électricité,23662.6,2839.51,E,3622.0,2.5415214295463997,43.265645677659606,2021-06-16 12:17:20
121,Hauts-de-France,59,72.1,1984,1980-1999,Appartement,Autre,4736.2,568.34,E,1710.3,5.675505858726982,47.96196813290905,2021-09-12 08:03:23
122,Nouvelle-Aquitaine,13,80.6,1972,1960-1979,Maison,Gaz,22930.2,2751.62,E,942.7,5.570369932128848,46.4484930603038,2024-05-31 03:07:46
123,Île-de-France,31,88.9,1981,1980-1999,Maison,Électricité,11431.4,1371.77,F,2923.9,-0.6147259011633031,50.20630651390077,2024-01-24 05:03:03
124,Hauts-de-France,31,76.0,2009,2000-2009,Maison,Électricité,13002.6,1560.31,A,2113.7,7.532269398443967,45.877436566894986,2024-03-29 04:37:03
125,Provence-Alpes-Côte d'Azur,31,39.4,2018,≥2010,Maison,Électricité,9280.7,1113.68,A,1676.9,-4.714760921231668,48.411251053234295,2023-06-08 14:34:11
